timestamp,open,high,low,close,volume
1739652000,97493,97509,97482,97505,7.42109299
1739652060,97501,97519,97501,97519,0.00811698
1739652120,97517,97517,97458,97458,2.28115391
1739652180,97458,97458,97458,97458,0.0
1739652240,97460,97469,97460,97465,0.00437375
1739652300,97465,97465,97453,97453,0.01418766
1739652360,97453,97479,97453,97479,0.96976969
1739652420,97478,97479,97478,97479,0.00842686
1739652480,97486,97486,97434,97442,0.6660549
1739652540,97469,97470,97469,97470,0.00173
1739652600,97464,97464,97436,97441,0.01691377
1739652660,97440,97440,97440,97440,0.00103198
1739652720,97440,97479,97440,97479,1.02859299
1739652780,97493,97502,97484,97487,0.02617434
1739652840,97486,97488,97486,97486,0.0059914
1739652900,97499,97528,97499,97528,0.00207
1739652960,97527,97527,97512,97512,0.04078596
1739653020,97511,97537,97511,97537,0.05703169
1739653080,97536,97536,97536,97536,0.00013918
1739653140,97537,97543,97537,97543,0.00159068
1739653200,97558,97592,97558,97592,0.04319336
1739653260,97586,97586,97569,97570,0.02638974
1739653320,97597,97618,97597,97618,0.00096
1739653380,97622,97622,97622,97622,0.0009601
1739653440,97622,97622,97622,97622,5.3763627
1739653500,97621,97633,97621,97633,2.05805984
1739653560,97633,97633,97633,97633,0.0
1739653620,97632,97632,97576,97611,0.04157771
1739653680,97621,97621,97621,97621,0.00076
1739653740,97624,97629,97624,97626,1.06636877
1739653800,97622,97622,97608,97608,0.02236275
1739653860,97607,97633,97584,97633,0.13100296
1739653920,97632,97633,97632,97633,0.25479963
1739653980,97633,97645,97633,97645,0.33905909
1739654040,97645,97645,97645,97645,0.26773441
1739654100,97645,97645,97645,97645,0.01047206
1739654160,97644,97644,97629,97629,0.04737902
1739654220,97629,97629,97604,97613,0.03986106
1739654280,97615,97615,97608,97613,0.0052626
1739654340,97616,97639,97616,97637,0.3184585
1739654400,97637,97645,97637,97645,0.03911163
1739654460,97644,97645,97644,97645,0.01172911
1739654520,97645,97650,97644,97650,0.27080746
1739654580,97657,97657,97657,97657,0.05007601
1739654640,97657,97657,97657,97657,0.02563686
1739654700,97657,97669,97657,97657,0.73978718
1739654760,97666,97666,97613,97613,0.3171984
